# schema=engine-default-glyph-frequency-corpus.v1
# source=messense/jieba-rs@c62e0df1f9dcc2cc1e014711c5aa4561ae260538
# sourcePath=jieba/src/data/dict.txt
# sourceBlobSha=8a9837551ef4f0833835565b5ca654bd6d786a42
# sourceSha256=139519822fe8ab9e10d9d07e68ea0451045380aedaf54ecc51e2a28c6b42a13f
# algorithm=sum word frequency for each Han scalar occurrence; sort score desc then codepoint asc; take 1200
U+98DE	43393
U+7403	43185
U+5BDF	43166
U+8282	43166
U+9F99	43136
U+54CD	43101
U+836F	42918
U+7AD9	42876
U+65BD	42688
U+5747	42641
U+6D88	42618
U+5BA2	42428
U+5931	42260
U+8F7B	42258
U+5B58	42238
U+4F4E	42188
U+751A	42174
U+822C	42059
U+51FB	41991
U+66FE	41980
U+9632	41866
U+8BF7	41737
U+79BB	41410
U+843D	41262
U+663E	41217
U+7F57	41186
U+8425	41177
U+8DB3	40825
U+7D20	40779
U+89C6	40740
U+62A4	40736
U+526F	40668
U+98DF	40554
U+521B	40543
U+4F59	40356
U+7167	40216
U+5174	40200
U+5360	40014
U+5DF4	39906
U+867D	39840
U+6D32	39767
U+6751	39705
U+8D39	39564
U+6613	39423
U+8BD5	39274
U+661F	39257
U+6728	39217
U+9ED1	39048
U+5DE6	39041
U+5B9D	39031
U+7F6E	38927
U+8DDF	38792
U+592E	38757
U+8BC6	38739
U+7EF4	38541
U+91C7	38520
U+516D	38415
U+5E95	38352
U+5BAB	38304
U+623F	38298
U+97F3	38286
U+73AF	38214
U+6848	38099
U+6279	37839
U+5207	37806
U+6597	37743
U+5BCC	37740
U+4E61	37505
U+53E6	37455
U+5012	37444
U+82E5	37295
U+6309	37276
U+67E5	37260
U+6545	37228
U+7A81	37210
U+8D23	37194
U+4E25	36974
U+6865	36861
U+6A21	36802
U+4EC5	36722
U+80DC	36555
U+6740	36518
U+56F4	36512
U+5E2D	36437
U+6001	36349
U+7834	36297
U+627F	36282
U+62DB	36261
U+6768	36219
U+8D1F	36212
U+5C42	36020
U+987B	35861
U+7236	35859
U+4F9B	35842
U+7EED	35800
U+72B6	35768
U+57DF	35702
U+4F3C	35479
U+4F9D	35374
U+94F6	35273
U+8303	34955
U+4FEE	34954
U+627E	34915
U+4E5D	34909
U+81F4	34909
U+5BC6	34824
U+7EC8	34772
U+8840	34701
U+65C5	34661
U+94B1	34609
U+8D5B	34531
U+72EC	34495
U+7EC6	34458
U+6548	34367
U+7389	34363
U+51B2	34337
U+83B7	34243
U+4E60	34218
U+533B	34199
U+6F14	34194
U+6BDB	34157
U+5C3D	34043
U+8138	33910
U+5F39	33908
U+697C	33890
U+827A	33880
U+822A	33844
U+9646	33829
U+53F3	33625
U+534F	33613
U+4E03	33601
U+653B	33565
U+9547	33549
U+68C0	33519
U+5199	33468
U+82CF	33363
U+5B97	33150
U+7AE0	33144
U+6CE8	33114
U+963F	33080
U+6297	32997
U+5F1F	32825
U+5750	32784
U+9A8C	32649
U+5C01	32559
U+7D27	32425
U+52B3	32395
U+6237	32364
U+4F18	32345
U+8D22	32310
U+517B	32161
U+9002	32104
U+9648	32102
U+559C	32073
U+536B	32061
U+6392	31930
U+5C04	31926
U+54E5	31861
U+6CB9	31857
U+523B	31846
U+7559	31796
U+6025	31755
U+964D	31573
U+5FF5	31456
U+4E91	31448
U+5FAE	31395
U+4F24	31279
U+4F8B	31232
U+666F	31172
U+62FF	31086
U+7EDD	31037
U+9636	30946
U+5EA7	30925
U+5218	30803
U+521A	30673
U+5BB3	30608
U+5370	30555
U+4EBF	30486
U+6C99	30456
U+6BCD	30328
U+9152	30282
U+52A9	30215
U+95FB	30200
U+8D85	30102
U+5BA1	30083
U+5F85	30008
U+538B	29830
U+5347	29816
U+9001	29738
U+76D1	29720
U+7B56	29707
U+7565	29649
U+9650	29525
U+7ADF	29348
U+9999	29226
U+914D	29154
U+85CF	29045
U+654C	29032
U+5462	28993
U+5DEE	28949
U+4ECD	28906
U+5170	28872
U+6E29	28657
U+56ED	28646
U+6811	28619
U+5F81	28501
U+5584	28448
U+6CE2	28447
U+54EA	28418
U+8BCD	28364
U+5C9B	28347
U+6B62	28342
U+9884	28276
U+6015	28195
U+7EE7	28150
U+76AE	28133
U+6267	28089
U+5473	27904
U+4EFD	27858
U+89D2	27853
U+8349	27813
U+7537	27740
U+666E	27733
U+7B54	27705
U+76CA	27644
U+8C01	27612
U+8239	27498
U+60CA	27460
U+6838	27434
U+8857	27428
U+590F	27408
U+5BA3	27359
U+638C	27341
U+7530	27187
U+4E45	27159
U+8457	27143
U+753B	27129
U+8F91	27106
U+5947	27029
U+5C3C	26971
U+5251	26938
U+5427	26934
U+8C08	26928
U+80CC	26887
U+514D	26847
U+5B69	26833
U+793C	26789
U+6750	26771
U+613F	26713
U+6D0B	26666
U+6625	26664
U+67B6	26637
U+7B51	26592
U+62EC	26494
U+665A	26359
U+4E71	26346
